trip_id,duration,,
190471529,19,,
190471525,28,,
190471526,28,,
190518987,144,,
190448172,9,,
190448173,13,,
190448174,2,,
190448175,8,,
190448176,9,,
190448177,9,,
190448178,14,,
190471517,17,,
190471524,52,,
190448170,8,,
190448171,13,,
190471512,18,,
190471513,23,,
190448169,7,,
190471510,22,,
190448167,10,,
190448168,4,,
190471508,16,,
190471505,42,,
190471506,24,,
190448166,8,,
190471502,13,,
190471504,18,,
190448165,8,,
190471499,12,,
190471500,17,,
190471501,16,,
190448164,6,,
190471495,11,,
190471496,12,,
190448160,6,,
190448161,6,,
190448162,1,,
190448163,6,,
190471489,23,,
190471494,20,,
190471485,12,,
190471486,22,,
190471487,58,,
190471488,12,,
190471484,30,,
190543044,194,,
190471479,29,,
190471480,26,,
190471481,7,,
190471482,6,,
190471483,27,,
190471472,20,,
190471473,15,,
190471474,12,,
190471475,16,,
190471476,26,,
190471477,6,,
190471478,20,,
190471468,9,,
190471469,4,,
190471470,22,,
190471471,8,,
190471464,21,,
190471465,4,,
190471466,7,,
190471467,1,,
190471460,10,,
190471461,24,,
190471462,11,,
190471463,18,,
190495077,91,,
190471458,25,,
190471459,6,,
190715742,654,,
190471456,29,,
190471457,16,,
190471452,10,,
190471454,21,,
190471451,1,,
190471444,51,,
190471445,19,,
190471446,10,,
190471449,8,,
190495056,60,,
190495060,59,,
190471441,40,,
190471442,25,,
190471443,18,,
190471436,39,,
190471437,21,,
190471438,49,,
190495047,57,,
190471434,9,,
190471435,14,,
190471425,27,,
190471426,36,,
190471427,9,,
190471428,12,,
190471430,11,,
190495037,96,,
190471421,18,,
190471422,6,,
190471423,8,,
190471424,14,,
190495033,95,,
190471420,6,,
190471418,8,,
190471419,29,,
190471416,10,,
190471417,12,,
190495025,77,,
190471414,12,,
190471415,9,,
190495022,76,,
190471412,7,,
190471413,35,,
190495018,49,,
190471409,38,,
190471410,16,,
190471411,42,,
190471407,14,,
190471408,14,,
190471405,17,,
190471406,39,,
190495011,96,,
190471403,34,,
190471404,11,,
190471402,7,,
190471400,1,,
190471401,11,,
190471399,10,,
190495004,55,,
190471395,9,,
190471396,18,,
190471397,10,,
190471398,22,,
190494997,54,,
190495000,54,,
190471389,30,,
190471390,12,,
190471391,16,,
190471384,16,,
190471385,2,,
190471388,16,,
190471382,12,,
190616315,366,,
190471376,5,,
190471377,5,,
190471378,27,,
190471379,9,,
190471380,27,,
190471372,1,,
190471373,17,,
190471374,8,,
190471375,17,,
190977701,1366,,
190471369,30,,
190471370,17,,
190471371,19,,
190494968,54,,
190494971,33,,
190494973,33,,
190518814,116,,
190471364,7,,
190471365,5,,
190471366,10,,
190471367,9,,
190471368,11,,
190518808,115,,
190471359,28,,
190471360,7,,
190471361,8,,
190471362,9,,
190471363,9,,
190471357,9,,
190471358,10,,
190471354,25,,
190471355,9,,
190471356,8,,
190471350,12,,
190471351,8,,
190471353,8,,
190494949,32,,
190471347,11,,
190471348,11,,
190471349,6,,
190494944,31,,
190471343,12,,
190471344,5,,
190471345,13,,
190471346,12,,
190494940,33,,
190471342,17,,
190494935,31,,
190494937,33,,
190494938,33,,
190471340,8,,
190471341,13,,
190494931,47,,
190494932,22,,
190471335,4,,
190471336,15,,
190471338,12,,
190471339,10,,
190471332,6,,
190471333,6,,
190471334,7,,
190471329,13,,
190471330,16,,
190471331,5,,
190471326,4,,
190471328,9,,
190494914,19,,
190494917,23,,
190494918,19,,
190471323,13,,
190471324,4,,
190471325,11,,
190494909,17,,
190494910,19,,
190494913,19,,
190471321,10,,
190471322,9,,
190494902,18,,
190494903,28,,
190494905,19,,
190494907,18,,
190494899,22,,
190494900,58,,
190494901,58,,
190471320,5,,
190494893,31,,
190494894,31,,
190494895,15,,
190494897,33,,
190494898,30,,
190471319,2,,
190494887,29,,
190494888,20,,
190494890,33,,
190494891,28,,
190471317,8,,
190494884,12,,
190494885,28,,
190494881,23,,
190494882,31,,
190494883,29,,
190518723,90,,
190518726,90,,
190494878,24,,
190494879,9,,
190494880,9,,
190494874,9,,
190494875,9,,
190494876,23,,
190494877,31,,
190494870,8,,
190494871,23,,
190494872,8,,
190494873,64,,
190494865,21,,
190494866,11,,
190494867,28,,
190494868,15,,
190494869,28,,
190494861,10,,
190494862,17,,
190494863,9,,
190494864,16,,
190542800,129,,
190494858,15,,
190494859,16,,
190494860,9,,
190494856,61,,
190494857,6,,
190471316,1,,
190494852,7,,
190494853,60,,
190494854,13,,
190494850,49,,
190494844,9,,
190494845,14,,
190494846,10,,
190494847,37,,
190494848,17,,
190494849,5,,
190494842,15,,
190494843,9,,
190494835,52,,
190494836,12,,
190494837,21,,
190494838,52,,
190494839,12,,
190494840,21,,
190494841,14,,
190494834,5,,
190494832,12,,
190494833,13,,
190494831,16,,
190494829,43,,
190494830,52,,
190494827,13,,
190494828,51,,
190494824,43,,
190494825,13,,
190494826,6,,
190494818,7,,
190494819,12,,
190494820,17,,
190494821,11,,
190494822,6,,
190542760,114,,
190494815,16,,
190494816,11,,
190494817,13,,
190494813,36,,
190494814,12,,
190542752,111,,
190494811,35,,
190494812,5,,
190494806,7,,
190494807,17,,
190494808,13,,
190494809,10,,
190494810,12,,
190591489,255,,
190494802,8,,
190494803,3,,
190494804,37,,
190494805,14,,
190518646,95,,
190494796,7,,
190494797,5,,
190494798,25,,
190494799,8,,
190494800,7,,
190494801,6,,
